date,operator_id,station_id,connector_id,connector_status,current_a,voltage_v,power_w,report_time,grid_id,temperature_c,rainfall_mm,district_nev_penetration_rate,district_ev_sales,district_bev_ratio,district_operating_ev_ratio,is_major_holiday,has_major_event,is_workday,grid_area_km2,district_name,grid_total_charging_facilities,grid_slow_charging_facilities,grid_fast_charging_facilities,grid_super_charging_facilities,grid_super_charging_stations,grid_public_fast_charging_stations,grid_public_slow_charging_stations
2021-09-19,589179428,20190000000000000003,900200000000000032,1,130.084,313.147,40734.000,2021-09-19 00:00:00.000,L2FT01-FTJ010,13.07,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.5400,大鹏新区,23,23,0,0,0,0,1
2021-09-19,589179428,20190000000000000003,900200000000000042,1,62.054,338.700,21121.250,2021-09-19 00:00:00.000,L2FT01-FTJ010,13.07,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.5400,大鹏新区,23,23,0,0,0,0,1
2021-09-19,589179428,20190000000000000003,900200000000000045,1,66.285,457.407,30269.333,2021-09-19 00:00:00.000,L2FT01-FTJ010,13.07,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.5400,大鹏新区,23,23,0,0,0,0,1
2021-09-19,589179428,20190000000000000003,900200000000000032,1,129.963,314.813,40910.667,2021-09-19 00:15:00.000,L2FT01-FTJ010,13.07,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.5400,大鹏新区,23,23,0,0,0,0,1
2021-09-19,589179428,20190000000000000003,900200000000000042,1,93.291,345.880,32276.000,2021-09-19 00:15:00.000,L2FT01-FTJ010,13.07,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.5400,大鹏新区,23,23,0,0,0,0,1
2021-09-19,589179428,20190000000000000003,900200000000000045,1,65.973,396.270,22048.000,2021-09-19 00:15:00.000,L2FT01-FTJ010,13.07,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.5400,大鹏新区,23,23,0,0,0,0,1
2021-09-19,589179428,20190000000000000003,900200000000000042,1,101.977,358.200,36519.333,2021-09-19 00:30:00.000,L2FT01-FTJ010,13.07,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.5400,大鹏新区,23,23,0,0,0,0,1
2021-09-19,589179428,20190000000000000003,900200000000000045,1,129.800,303.520,39392.667,2021-09-19 00:30:00.000,L2FT01-FTJ010,13.07,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.5400,大鹏新区,23,23,0,0,0,0,1
2021-09-19,589179428,20190000000000000003,900200000000000032,1,130.072,316.630,41182.000,2021-09-19 00:30:00.000,L2FT01-FTJ010,13.07,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.5400,大鹏新区,23,23,0,0,0,0,1
2021-09-19,589179428,20190000000000000003,900200000000000042,1,87.391,372.313,32500.667,2021-09-19 00:45:00.000,L2FT01-FTJ010,13.07,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.5400,大鹏新区,23,23,0,0,0,0,1
