date,operator_id,station_id,connector_id,connector_status,current_a,voltage_v,power_w,report_time,grid_id,temperature_c,rainfall_mm,district_nev_penetration_rate,district_ev_sales,district_bev_ratio,district_operating_ev_ratio,is_major_holiday,has_major_event,is_workday,grid_area_km2,district_name,grid_total_charging_facilities,grid_slow_charging_facilities,grid_fast_charging_facilities,grid_super_charging_facilities,grid_super_charging_stations,grid_public_fast_charging_stations,grid_public_slow_charging_stations
2020-10-18,589179428,20190000000000000003,900200000000000039,1,132.961,313.864,41726.429,2020-10-18 02:45:00.000,L2FT01-FTJ001,13.50,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000039,1,132.890,314.527,41797.333,2020-10-18 03:00:00.000,L2FT01-FTJ001,14.12,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000042,1,129.890,313.987,40781.333,2020-10-18 03:00:00.000,L2FT01-FTJ001,14.12,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000056,1,130.207,310.360,40407.333,2020-10-18 03:00:00.000,L2FT01-FTJ001,14.12,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000039,1,132.890,315.687,41948.667,2020-10-18 03:15:00.000,L2FT01-FTJ001,14.12,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000042,1,129.890,315.447,40971.333,2020-10-18 03:15:00.000,L2FT01-FTJ001,14.12,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000056,1,130.060,311.773,40546.667,2020-10-18 03:15:00.000,L2FT01-FTJ001,14.12,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000056,1,130.031,313.867,40809.333,2020-10-18 03:30:00.000,L2FT01-FTJ001,14.12,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000039,1,105.768,321.731,33846.154,2020-10-18 03:30:00.000,L2FT01-FTJ001,14.12,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000042,1,89.857,323.200,28806.667,2020-10-18 03:30:00.000,L2FT01-FTJ001,14.12,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000056,1,130.000,314.507,40880.714,2020-10-18 03:45:00.000,L2FT01-FTJ001,14.12,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
2020-10-18,589179428,20190000000000000003,900200000000000056,1,133.061,317.080,42190.000,2020-10-18 04:00:00.000,L2FT01-FTJ001,14.60,0.000,0.666012,16605,0.435592,0.055345,0,0,0,0.3000,南山区,23,23,0,0,0,0,1
