date,operator_id,station_id,connector_id,connector_status,current_a,voltage_v,power_w,report_time,grid_id,temperature_c,rainfall_mm,district_nev_penetration_rate,district_ev_sales,district_bev_ratio,district_operating_ev_ratio,is_major_holiday,has_major_event,is_workday,grid_area_km2,district_name,grid_total_charging_facilities,grid_slow_charging_facilities,grid_fast_charging_facilities,grid_super_charging_facilities,grid_super_charging_stations,grid_public_fast_charging_stations,grid_public_slow_charging_stations
2021-07-07,589179428,20190000000000000003,900200000000000034,1,99.867,368.933,36840.000,2021-07-07 00:45:00.000,L2FT01-FTJ008,20.00,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
2021-07-07,589179428,20190000000000000003,900200000000000034,1,99.800,377.727,37692.667,2021-07-07 01:00:00.000,L2FT01-FTJ008,20.78,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
2021-07-07,589179428,20190000000000000003,900200000000000034,1,99.824,391.127,39043.333,2021-07-07 01:15:00.000,L2FT01-FTJ008,20.78,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
2021-07-07,589179428,20190000000000000003,900200000000000034,1,56.852,398.093,22630.000,2021-07-07 01:30:00.000,L2FT01-FTJ008,20.78,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
2021-07-07,589179428,20190000000000000003,900200000000000034,1,17.012,398.040,6770.000,2021-07-07 01:45:00.000,L2FT01-FTJ008,20.78,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
2021-07-07,589179428,20190000000000000003,900200000000000034,1,7.444,398.000,2960.000,2021-07-07 02:00:00.000,L2FT01-FTJ008,21.50,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
2021-07-07,589179428,20190000000000000003,900200000000000049,1,129.815,314.767,40855.000,2021-07-07 05:30:00.000,L2FT01-FTJ008,22.90,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
2021-07-07,589179428,20190000000000000003,900200000000000049,1,129.860,315.553,40974.000,2021-07-07 05:45:00.000,L2FT01-FTJ008,22.90,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
2021-07-07,589179428,20190000000000000003,900200000000000049,1,129.890,318.500,41370.000,2021-07-07 06:00:00.000,L2FT01-FTJ008,23.00,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
2021-07-07,589179428,20190000000000000003,900200000000000049,1,137.590,386.333,53146.667,2021-07-07 07:15:00.000,L2FT01-FTJ008,22.90,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
2021-07-07,589179428,20190000000000000003,900200000000000049,1,106.974,396.107,42322.667,2021-07-07 07:30:00.000,L2FT01-FTJ008,22.90,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
2021-07-07,589179428,20190000000000000003,900200000000000049,1,85.523,402.967,34460.000,2021-07-07 07:45:00.000,L2FT01-FTJ008,22.90,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
2021-07-07,589179428,20190000000000000003,900200000000000049,1,54.265,448.300,25225.000,2021-07-07 10:30:00.000,L2FT01-FTJ008,21.50,5.000,0.666012,16605,0.435592,0.055345,0,0,1,0.3000,坪山区,24,24,0,0,0,0,1
